Student_ID,Ref1_Grade,Ref1_Grade_Trend,Ref1_Passing_Status,Ref1_Emotions,Ref1_Emotion_Sentiment,Ref1_Emotion_Change,Ref1_Topics,Ref1_Extracted_Topics,Ref1_Completed_Quizzes
900001.0,94.17,N/A,Passing,,,N/A,,,
900002.0,95.65,N/A,Passing,,,N/A,,,
900003.0,95.22,N/A,Passing,,,N/A,,,
900006.0,88.08,N/A,Passing,,,N/A,,,
900007.0,95.48,N/A,Passing,,,N/A,,,
900008.0,88,N/A,Passing,,,N/A,,,
900009.0,85.8,N/A,Passing,,,N/A,,,
900010.0,82.17,N/A,Passing,,,N/A,,,
900011.0,58.16,N/A,Fail,,,N/A,,,
900012.0,84.92,N/A,Passing,,,N/A,,,
900013.0,95.65,N/A,Passing,,,N/A,,,
900014.0,98.7,N/A,Passing,,,N/A,,,
900015.0,65.33,N/A,Fail,,,N/A,,,
900016.0,94.39,N/A,Passing,,,N/A,,,
900017.0,58.38,N/A,Fail,,,N/A,,,
900018.0,86.09,N/A,Passing,,,N/A,,,
900019.0,98.96,N/A,Passing,,,N/A,,,
900020.0,97.83,N/A,Passing,,,N/A,,,
900021.0,98.7,N/A,Passing,,,N/A,,,
900022.0,91.52,N/A,Passing,,,N/A,,,
900023.0,46.52,N/A,Fail,,,N/A,,,
900024.0,94.49,N/A,Passing,,,N/A,,,
900025.0,82.35,N/A,Passing,,,N/A,,,
900026.0,96.88,N/A,Passing,,,N/A,,,
900027.0,91.3,N/A,Passing,,,N/A,,,
900028.0,90.48,N/A,Passing,,,N/A,,,
900029.0,98.52,N/A,Passing,,,N/A,,,
900030.0,90.43,N/A,Passing,,,N/A,,,
900031.0,82.83,N/A,Passing,,,N/A,,,
900032.0,97.83,N/A,Passing,,,N/A,,,
900033.0,59.9,N/A,Fail,,,N/A,,,
900034.0,99.13,N/A,Passing,,,N/A,,,
900035.0,82.33,N/A,Passing,,,N/A,,,
900036.0,60.87,N/A,Fail,,,N/A,,,
900037.0,97.58,N/A,Passing,,,N/A,,,
900038.0,96.52,N/A,Passing,,,N/A,,,
900039.0,81.4,N/A,Passing,,,N/A,,,
900040.0,77.32,N/A,Passing,,,N/A,,,
900041.0,95.19,N/A,Passing,,,N/A,,,
900042.0,98.04,N/A,Passing,,,N/A,,,
900043.0,95.65,N/A,Passing,,,N/A,,,
900044.0,97.88,N/A,Passing,,,N/A,,,
900045.0,74.44,N/A,Passing,,,N/A,,,
900046.0,79.4,N/A,Passing,,,N/A,,,
900047.0,83,N/A,Passing,,,N/A,,,
900048.0,98.91,N/A,Passing,,,N/A,,,
900049.0,94.78,N/A,Passing,,,N/A,,,
900050.0,60.43,N/A,Fail,,,N/A,,,
900051.0,94.64,N/A,Passing,,,N/A,,,
900052.0,92,N/A,Passing,,,N/A,,,
900053.0,89.72,N/A,Passing,,,N/A,,,
900054.0,83.52,N/A,Passing,,,N/A,,,
900055.0,95.65,N/A,Passing,,,N/A,,,
900056.0,98.26,N/A,Passing,,,N/A,,,
900057.0,98.96,N/A,Passing,,,N/A,,,
900058.0,0,N/A,Fail,,,N/A,,,
nan,-,,,,,N/A,,,
s006@anon.local,88.08,N/A,Passing,"Excited,Satisfied",Positive,N/A,,,
s009@anon.local,85.8,N/A,Passing,Frustrated,Negative,N/A,,,
s011@anon.local,58.16,N/A,Fail,Satisfied,Positive,N/A,,,
s012@anon.local,84.92,N/A,Passing,"Excited,Frustrated",Positive,N/A,,,
s013@anon.local,95.65,N/A,Passing,"Excited,Satisfied",Positive,N/A,,time_management_and_motivation; sway,
s014@anon.local,98.7,N/A,Passing,Satisfied,Positive,N/A,,none,
s016@anon.local,94.39,N/A,Passing,"Satisfied,Frustrated",Positive,N/A,,time_management_and_motivation; sway; other_secondary,
s018@anon.local,86.09,N/A,Passing,"Excited,Satisfied",Positive,N/A,,python_and_coding,
s019@anon.local,98.96,N/A,Passing,"Excited,Satisfied",Positive,N/A,,other_secondary,
s021@anon.local,98.7,N/A,Passing,Satisfied,Positive,N/A,,python_and_coding,
s028@anon.local,90.48,N/A,Passing,Confused,Negative,N/A,,time_management_and_motivation,
s039@anon.local,81.4,N/A,Passing,"Satisfied,I have been having trouble keeping up at the moment due to a chaotic few weeks.  ",Positive,N/A,,,
s040@anon.local,77.32,N/A,Passing,Satisfied,Positive,N/A,,sway; time_management_and_motivation,
s047@anon.local,83,N/A,Passing,"Excited,Satisfied",Positive,N/A,,,
s053@anon.local,89.72,N/A,Passing,"Excited,Satisfied",Positive,N/A,,time_management_and_motivation,
s054@anon.local,83.52,N/A,Passing,Excited,Positive,N/A,,,
