ID,How do you feel about the course so far? - Selected Choice,Explain why you selected the above choice(s).,What was(were) your biggest challenge(s) for these past modules?,How did you overcome this challenge(s)? Or what steps did you start taking towards overcoming it?,"Are you CURRENTLY experiencing any additional challenges or concerns beyond what you mentioned in the previous question? If so, please describe them.","How would you assess your performance in the course so far? What’s helping you succeed, or what might be holding you back?",What actions can you or the instructional team take to help you improve or maintain your success in the course?,primary_labels_selected,resolution_primary_labels,urgency,reflection_summary,instructor_suggestions
s018@anon.local,"Excited,Satisfied","I’m excited about this course because I’m able to learn about the holistic process of software engineering, as well as experience with hard skills involved in that process, such as certain coding languages and programs.","My biggest challenge thus far has been the Python content, since I did the credit by exam for ITSC 1212 and never learned how to code in Python. While I understand the concepts of the programming language, it’s quite a learning curve adjusting to the syntax.","I’m still learning the Python syntax, but exercises as well as videos about Python have helped me out.",nan,"So far, I’ve been doing well with the coursework. I think part of what helps is that not all of it revolves around needing to code, so when I’m away from my computer I’m still able to complete assignments and learn on my phone when I have down time at work.","I think adjusting the structure of the content in canvas could help, as it seems like the content is set up as if the course is synchronous, so navigating the coursework can be confusing at times (I’m in section 081). I also think doing an end-of-week announcement to summarize what was covered and emphasizing what topics students should really focus on could help serve as a refresher for students.",python_and_coding,unresolved,medium,"The student expresses excitement and satisfaction with the course, appreciating the opportunity to learn about software engineering and coding languages. However, the student faces a challenge with Python because they haven't formally learned it before, making the syntax difficult to adjust to despite understanding the concepts. This challenge remains unresolved, though exercises and videos are aiding in their learning process. The student suggests improving course content structure and providing weekly summaries for better understanding and navigation.",Consider restructuring the course content on Canvas for better clarity and provide end-of-week summaries to help students focus on key topics. These changes may help students like this one who find the structure confusing.
UNK_003,Satisfied,I selected satisfied because I do not have any complaints as of yet about the course. Material is interested and I am excited to get hands on experience with python and other technologies. I did not select excited because I believe that the work load will increase as we get further into the semester. :),No challenges at the moment.,nan,"No major challenges or concerns. I do have an observation regarding the section that I selected for Q1. I am registered for section 081, but it was not listed as an option. (202560-ITSC-3155-081-30188 this is what I see in canvas)",My performance is going well so far. Going through the material at my own pace and practicing python is helping me succeed currently.,"As the Student_058, I can maintain good study habits, participate in class discussions, complete assignments on time and utilize office hours when necessary.

As the instructional team, continue to provide clear instructions for assignments, include as much hands-on learning as possible and continue to be accessible for support/questions.",none,no_challenge,none,"The student expresses satisfaction with the course and mentions no current challenges. They are engaged with the material and find it interesting, particularly the hands-on experience with Python. The student is managing their studies well and intends to maintain good study habits. There are no challenges affecting their progress, and they have no specific concerns at this time.",No action is needed.
UNK_001,Neutral,Still getting used to the learning style,"The sway chat was a slight challenge, just due to waiting a response from my partner.","Asked the guide for the next steps, and tried to respond asap when they did reply.",nan,"I would say I am doing well, having flexibility is helping me.",Maybe a recorded lecture on some topics.,Sway,resolved,low,"The student's main challenge was the Sway activity, specifically waiting for a response from their partner. They overcame this by asking for guidance and responding quickly when their partner replied. Overall, the student feels neutral about the course and is doing well, with flexibility aiding their success. The student suggests that recorded lectures could be beneficial.","Consider providing recorded lectures on some topics, as suggested by the student, to enhance their learning experience."
UNK_002,Excited,There's a lot of information in the course already. The assignments and resources that have been completed in module 1 have been helpful to learning the information for this course.,"My biggest challenge was time management. Although I was able to have a good start, I couldn't maintain it.",Something that I have been trying to do to overcome this challenge is having a designated time to complete the work for this class.,I do not have any other challenges.,The things that have helped me in this course is all the resources that are provided to help me with the course work. They all provide meaningful information.,I feel like there isn't anything that needs to be done to improve my success in the course.,time_management_and_motivation,unresolved,medium,"The student is excited about the course and finds the assignments and resources helpful. Their main challenge is time management, and they are trying to overcome it by setting a designated time for class work. Although they are making efforts, the issue seems unresolved, which impacts their learning to a moderate degree. Overall, they feel supported by the course materials and do not request additional help.","No action is needed, as the student feels well-supported by the course resources."
UNK_004,Satisfied,Got what I wanted and expected from the class,No challenges at all,nan,No,I would say my performance is good. The fact that I know Python from 1212 is helping me succeed.,Nothing,none,no_challenge,none,"The student is satisfied with the course and reports no challenges or concerns. They attribute their success to prior knowledge of Python, which is aiding their performance. Since no challenges are mentioned, the reflection is categorized under 'none' for primary labels, with 'no_challenge' as the resolution status, indicating the student is progressing well without issues.",No action is needed.
UNK_005,Satisfied,satisfied,"formatting of quizzes not being general enough, got a quiz where the answer was __init__(), but my answer was __init__ as we were not instructed to put in the ()",I missed the points,no,ok,make the questions clearer so there is not any room for error like referenced before with the (),other_secondary,unresolved,low,"The student expresses satisfaction with the course but encountered a challenge with quiz formatting, noting that an answer required specific syntax that was not clearly instructed. They lost points due to this issue and suggested improving clarity in quiz questions to prevent similar misunderstandings. The student's challenge is unresolved, but it has a low urgency as they did not report any additional challenges.","Consider reviewing quiz questions for clarity and specificity to prevent misunderstandings, as suggested by the student."
UNK_006,"Excited,Satisfied","Even though the classes are asynchronous, the modules are well-organized, making it easy for me to stay on track and get the most out of my learning.",My biggest challenge was staying consistently motivated without classes. It takes extra effort to stay engaged and keep up with the material on my own.,I created a weekly schedule and set reminders to stay on track.,nan,"I think I’m doing fairly well so far. Staying organized helps, but juggling other classes can be a challenge sometimes.",More reminders would help me stay on track and plan better.,time_management_and_motivation,resolved,low,"The student is generally positive about the course, feeling excited and satisfied due to the well-organized modules in the asynchronous format. However, their main challenge was maintaining motivation without regular classes, which they addressed by creating a weekly schedule and setting reminders. They suggest that additional reminders from the instructional team could further aid their organization. The challenge seems resolved, and the urgency is low since they have already implemented a successful strategy.","The instructor may consider providing more reminders to help students plan and stay on track, as suggested by the student."
s053@anon.local,"Excited,Satisfied","So far, I have understood everything in the course, and I feel the resources provided have been adequate to help me understand the material. I am excited to continue learning in this course to learn tougher things.","The biggest challenges have been navigating and understanding what to do and when. Sometimes things are in a funky order and a bit unorganized. For example, when looking in the modules section, I will see additional things that aren't on my dashboard. This can be a bit confusing.","So far, I've mainly just been paying attention to the modules and going in order there.",No,My performance has been good so far. I think just putting in the time every day to fully go through each thing in the modules and taking your time to fully understand it.,"I like the minimalistic yet efficient teaching approach. I feel like the whole time I have spent in this class, I am learning valuable things. So I am hoping this continues as the course progresses.",time_management_and_motivation,resolved,low,"The student feels excited and satisfied with the course, having understood the material so far with adequate resources. They experienced a challenge with organization and navigation of the course modules, but have resolved it by paying attention to the module order. The student is currently not facing any additional challenges and appreciates the teaching approach, indicating overall good performance and progress.",No action is needed.
s013@anon.local,"Excited,Satisfied",I really like the layout of the course.,The CompScenario Debate Round 1. There was not specific opinion date deadline announcement.,I emailed the professor and TA.,No,"Everything is going very well so far. Just managing my workload may hold me back, but I'm doing well so far.",Opinion date deadline announcements.,Sway,resolved,low,"The student is generally excited and satisfied with the course, appreciating its layout. They faced a challenge with the CompScenario Debate due to a lack of clear deadline announcements, but resolved it by contacting the professor and TA. While the student mentions workload management as a potential future challenge, they are currently managing well. The student's primary suggestion is to improve communication of deadlines, indicating a low urgency for instructor intervention.",The instructor may consider providing clearer deadline announcements for assignments like the CompScenario Debate to enhance clarity and avoid confusion in the future.
s013@anon.local,"Excited,Satisfied",I really like the layout of the course.,The CompScenario Debate Round 1. There was not specific opinion date deadline announcement.,I emailed the professor and TA.,No,"Everything is going very well so far. Just managing my workload may hold me back, but I'm doing well so far.",Opinion date deadline announcements.,time_management_and_motivation,unspecified,low,"The student is generally excited and satisfied with the course, appreciating its layout. They faced a challenge with the CompScenario Debate due to a lack of clear deadline announcements, but resolved it by contacting the professor and TA. While the student mentions workload management as a potential future challenge, they are currently managing well. The student's primary suggestion is to improve communication of deadlines, indicating a low urgency for instructor intervention.",The instructor may consider providing clearer deadline announcements for assignments like the CompScenario Debate to enhance clarity and avoid confusion in the future.
