What is your ITSC-3155 section?,ID,How do you feel about the course so far? - Selected Choice,Explain why you selected the above choice(s).,What was(were) your biggest challenge(s) for these past modules?,How did you overcome this challenge(s)? Or what steps did you start taking towards overcoming it?,"Are you CURRENTLY experiencing any additional challenges or concerns beyond what you mentioned in the previous question? If so, please describe them.","How would you assess your performance in the course so far? What’s helping you succeed, or what might be holding you back?",What actions can you or the instructional team take to help you improve or maintain your success in the course?
Online Asynchronous (081),s018@anon.local,"Excited,Satisfied","I’m excited about this course because I’m able to learn about the holistic process of software engineering, as well as experience with hard skills involved in that process, such as certain coding languages and programs. ","My biggest challenge thus far has been the Python content, since I did the credit by exam for ITSC 1212 and never learned how to code in Python. While I understand the concepts of the programming language, it’s quite a learning curve adjusting to the syntax.","I’m still learning the Python syntax, but exercises as well as videos about Python have helped me out. ",N/A,"So far, I’ve been doing well with the coursework. I think part of what helps is that not all of it revolves around needing to code, so when I’m away from my computer I’m still able to complete assignments and learn on my phone when I have down time at work. ","I think adjusting the structure of the content in canvas could help, as it seems like the content is set up as if the course is synchronous, so navigating the coursework can be confusing at times (I’m in section 081). I also think doing an end-of-week announcement to summarize what was covered and emphasizing what topics students should really focus on could help serve as a refresher for students. "
Online Asynchronous (081),UNK_003,Satisfied,I selected satisfied because I do not have any complaints as of yet about the course. Material is interested and I am excited to get hands on experience with python and other technologies. I did not select excited because I believe that the work load will increase as we get further into the semester. :),No challenges at the moment.,N/A,"No major challenges or concerns. I do have an observation regarding the section that I selected for Q1. I am registered for section 081, but it was not listed as an option. (202560-ITSC-3155-081-30188 this is what I see in canvas)",My performance is going well so far. Going through the material at my own pace and practicing python is helping me succeed currently.,"As the Student_058, I can maintain good study habits, participate in class discussions, complete assignments on time and utilize office hours when necessary.

As the instructional team, continue to provide clear instructions for assignments, include as much hands-on learning as possible and continue to be accessible for support/questions. "
Online Asynchronous (081),UNK_001,Neutral,Still getting used to the learning style,"The sway chat was a slight challenge, just due to waiting a response from my partner.","Asked the guide for the next steps, and tried to respond asap when they did reply.",N/A,"I would say I am doing well, having flexibility is helping me.",Maybe a recorded lecture on some topics.
Online Asynchronous (081),UNK_002,Excited,There's a lot of information in the course already. The assignments and resources that have been completed in module 1 have been helpful to learning the information for this course. ,"My biggest challenge was time management. Although I was able to have a good start, I couldn't maintain it. ",Something that I have been trying to do to overcome this challenge is having a designated time to complete the work for this class.,I do not have any other challenges. ,The things that have helped me in this course is all the resources that are provided to help me with the course work. They all provide meaningful information. ,I feel like there isn't anything that needs to be done to improve my success in the course. 
Online Asynchronous (081),UNK_004,Satisfied,Got what I wanted and expected from the class,No challenges at all,N/A,No,I would say my performance is good. The fact that I know Python from 1212 is helping me succeed.,Nothing
Online Asynchronous (081),UNK_005,Satisfied,satisfied,"formatting of quizzes not being general enough, got a quiz where the answer was __init__(), but my answer was __init__ as we were not instructed to put in the () ",I missed the points,no,ok,make the questions clearer so there is not any room for error like referenced before with the ()
Online Asynchronous (081),UNK_006,"Excited,Satisfied","Even though the classes are asynchronous, the modules are well-organized, making it easy for me to stay on track and get the most out of my learning.",My biggest challenge was staying consistently motivated without classes. It takes extra effort to stay engaged and keep up with the material on my own.,I created a weekly schedule and set reminders to stay on track.,NA,"I think I’m doing fairly well so far. Staying organized helps, but juggling other classes can be a challenge sometimes.",More reminders would help me stay on track and plan better.
Online Asynchronous (081),s053@anon.local,"Excited,Satisfied","So far, I have understood everything in the course, and I feel the resources provided have been adequate to help me understand the material. I am excited to continue learning in this course to learn tougher things.","The biggest challenges have been navigating and understanding what to do and when. Sometimes things are in a funky order and a bit unorganized. For example, when looking in the modules section, I will see additional things that aren't on my dashboard. This can be a bit confusing.","So far, I've mainly just been paying attention to the modules and going in order there.",No,My performance has been good so far. I think just putting in the time every day to fully go through each thing in the modules and taking your time to fully understand it.,"I like the minimalistic yet efficient teaching approach. I feel like the whole time I have spent in this class, I am learning valuable things. So I am hoping this continues as the course progresses."
Online Asynchronous (081),s013@anon.local,"Excited,Satisfied",I really like the layout of the course.,The CompScenario Debate Round 1. There was not specific opinion date deadline announcement.,I emailed the professor and TA.,No,"Everything is going very well so far. Just managing my workload may hold me back, but I'm doing well so far.",Opinion date deadline announcements. 
Online Asynchronous (081),UNK_007,Satisfied,"Its going well, but I am still too early in the course to tell.","Figuring out course expecations, but everything has been outlined very well.",I read through everything and gave myself time,no,"Good, and I think if I dedicated myself more time to this class",N/A
Online Asynchronous (081),UNK_008,Neutral,It has only been a week or two in the course so i haven't been stressed and i have understood everything we have had to do so far.,just learning basic python,the little python exercise helped me a lot and also the 6-hour video you linked was also pretty helpful.,NO,I feel like i am doing fine i just need to keep doing what I have been doing and keep the schedule I am on.,N/A I don't have any recommendations.
Online Asynchronous (081),UNK_009,Satisfied,I am getting ahead of the course work and feel like I am learning well on my own.,"Not really the material, just balancing the start of the summer courses. ",Designating certain days to learn content and complete assignments. ,No,8/10 - I could complete the assignments a couple days before the due date.,I am okay
Online Asynchronous (081),s040@anon.local,Satisfied,"The workload isnt too bad, however I do struggle to stay on top of the debate assignments in time",Debate assignments,I just need to check the assignments/announcements more often,not currently,"decently, I should be able to hold a decent grade",I could go to office hours if i was struggling with content but its just my time management problem at this point
Online Asynchronous (081),s014@anon.local,Satisfied,The course is easy to navigate and so far the work has been easy to follow.,I didn't have any challenges for these past modules.,I didn't have any challenges.,Nope.,I believe my performance in the class so far is good.,I can make sure to keep up with my assignments and stay on track with material. The instructional team has been doing great so far in providing reminders with due dates.
Online Asynchronous (081),s021@anon.local,Satisfied,I understand the material so far!,I did not know python so that was challenging,I started watching more youtube videos that was very helpful,NO,"It's pretty good so far, the class materials and additional youtube videos are very helpful",Everything is good
